"","interes_ES","barreras_ES","publico_general_ES"
"1","Para estar al tanto e involucrarme con las iniciativas de Ciencia Abierta en Latinoamérica","Sufrir exclusión o limitaciones por una normatividad no abierta. Consumir más tiempo en recursos en una situación de precariedad, lo que genera desventaja.","En potenciar iniciativas de investigación y desarrollo que no tienen que reinventar la rueda una y otra vez, sumando así esfuerzos y logros. En ampliar las fronteras de la investigación académica hacia la educación ciudadana."
"2","Como analista de datos y usuario de datos del Estado me interesa participar de experiencia de aprendizaje sobre datos abiertos, criterios de apertura de datos y transparencia de la información","El sentimiento de competencia hacia adentro de la ciencia así como para los casos en donde se trabaja con datos personales o sensibles el conocimiento de los criterios de publicidad y tecnicas de anonimización","En mayor transparencia, publicidad y reutilización de metodos o tecnicas"
"3","Conocer prácticas de Ciencia Abierta y eventualmente transmitir conocimientos a pares.","Desconocimiento de plataformas de publicación, aumento carga laboral.","Mayor transparencia, democratización del conocmiento."
"4","Porque me interesa el tema debido a mi objeto de investigación que son las infraesructuras globales para la comunicación científica, en particular los Identificadores Persistentes.","El problema principal es la trazabilidad de la autoridad sobre los datos sobre todo en el contexto del gran poder de procesamiento gracias a la IA","Idealmente la adopción de principios de Ciencia Abierta debería servir para reducir asimetrías y desigualdades"
"5","Estoy planificando comenzar a trabajar en un proyecto de Ciencia Ciudadana.","Hay barreras éticas asociadas a, por ejemplo, los derechos de comunidades de pueblos-naciones originarios. En antropología biológica, al trabajar por ejemplo con datos genéticos/genómicos hay que tener en cuenta que pueden contener información sensible (como predisposición a enfermedades, ancestría genética, entre otras) que si se liberan para estar al alcance de cualquiera pueden tener serias implicancias legales y sociales. Además, cuando se trabaja con datos recolectados de muestras biológicas de personas, los miembros de esos grupos o comunidades pueden considerar a esas muestras y a los datos o materiales generados de ellas como sagradas, principalmente si se trata de restos ancestrales (recuperados de sitios arqueológicos, por ejemplo).","Tengo la esperanza de que la influencia sea positiva, favoreciendo la transparencia por parte del sistema científico-académico y el acercamiento al resto de la sociedad. Sin embargo es difícil de predecir, sobre todo en estos tiempos de ascensos de las nuevas (y no tan nuevas) ultra-derechas y sus discursos anticientíficos en general y anti ciencias sociales y humanas, particularmente. Además, considero que siempre hay que tener en cuenta las posibles implicancias e impactos de los datos/resultados que generamos y cómo pueden ser tomados y resignificados por distintos actores sociales."
"6","Para recibir una formación más sistematizada de qué es la ciencia abierta","Falta de conocimientos, dominio y muchos de los repositorios no son en español","No tengo una respuesta formada al respecto"
"7","Para profundizar conocimiento sobre recursos y datos abiertos.","Quizás tenga que ver con que, desde enfoques cualitativos, los instrumentos de recolección y la información resultante son bastante poco estructurados, y muy situados en la propia investigación.","Acercar la ciencia al público en general, y el público en general a la ciencia. Creo que sería valioso considerando el contexto actual que atraviesa la ciencia en Argentina."
"8","Para aprender, hacer redes y formar a mi equipo de trabajo (Espacio Academico abierto al publico donde compartimos lecciones aprendidas).","Para Publicaciones las barreras son idiomaticas y economicas. Al optar por español y gratuitas, hay muchas menos opciones de revistas indexadas.","Aprender OTRAS oportunidades y estrategias para compartir, que van más allá de los resultados."
"9","Formación profesional",NA,NA
"10","Soy activista por Laa ciencia y el conocimiento abiertos. He conducido algunas investigaciones sobre políticas de evaluación académica con ciencia abierta","El modelo de negocio de Laa asignación de doi, por ejemplo.","Creo que muchos resultados científicos podrían resultar más pertinentes, además de que las agendas Científicas podrían también dar un vuelco y mirar más hacia adentro."
"11","Me gusta el movimiento de Ciencia Abierta y quiero aprender más sobre el tema para impulsarlo en mi entorno.","En mi opinión uno de los obstáculos principales es el costo de publicación en revistas de acceso abierto.","Pienso que la Ciencia Abierta mejorará la percepción de la sociedad sobre la ciencia y la investigación."
"12","Actualmente dirijo un Semillero de Investigación sobre el tópico de Reproducibilidad. Tengo interés de clarificar cómo hacer partícipes a más estudiantes de pregrado conociendo cómo la Ciencia Abierta puede contribuir en su formación en Ciencias Sociales.","Desconocimiento técnico del tema, falta de tiempo","Potenciando el involucramiento del pùblico en  general a la Ciencia en sì"
"13","Me interesa aprender más acerca de los principios de la ciencia abierta y aplicarlo en mi trabajo y docencia","La dificultad en el acceso a revistas de acceso abierto y también alta reputación por su alto costo de publicación en esta modalidad, la posibilidad de ""scooping"" por parte de competidores si se muestran los datos muy temprano","Mejorando esta relación"
"14","Me interesa incorporar nuevas herramientas para afrontar los desafios que plantean el trabajo inter -multidisiplinario en el área de ecologia.","Presupuesto y barreras burocraticas.","Igualdad  de oportunidades,  empoderamiento y toma de conciencia del poder de la organizacion social entorno a un tema o problemática."
"15","Para abrir mi área de investigación, aprendiendo como acceder a datos libres y darles un enfoque más práctico.","Depositar lo datos en un plataforma de acceso libre","Brindar confianza o certidumbre en el ámbito científico , sin embargo por la idiosincrasia de nuestro país aún dista mucho del interés de las personas en nuestro campo"
"16","Trabajo con ciencia ciudadana y abierta","No todas las personas elijen hacer ciencia abierta y es muy difícil que se compartan datos de proyectos","Trabajo conjunto, ahorro de tiempo y recursos. Potenciar los saberes de forma conjunta"
"17","Me encuentro en la etapa inicial de un proyecto que pretendo presentar formalmente, con miras a su eventual comercialización en el futuro.","En Argentina, la principal problemática radica en la situación socioeconómica que atraviesa la población, lo cual genera una compleja situación problemática a nivel comunitario.","Considero imperativo involucrar a la comunidad en general en los proyectos científicos, con el fin de proporcionar un acceso más amplio y una mejor comprensión de las problemáticas actuales abordadas por la ciencia."
"18","Para mejorar mis capacidades en este ámbito ya que me interesa mucho poder avanzar aprendiendo a mejorar estas habilidades","el desconocimiento de conocimientos específicos en el área","Si todos adoptaran los principios de la ciencia abierta de forma cotidiana, el mundo avanzaría de una forma mucho mas eficiente y rápida, tras de que la gente comprendería mucho mejor el ambiente científico."
"19","Para aumentar mis conocimientos y  me parece interesante","La Ciencia Abierta requiere un cambio cultural hacia la colaboración, la transparencia y el intercambio temprano de resultados. Algunos investigadores pueden resistirse a abandonar las prácticas tradicionales.","Esto aumenta la confianza del público en los resultados científicos al permitir que las personas accedan a datos, métodos y hallazgos verificables"
"20","Porque me apasiona aprender para motivar a mis estudiantes, porque creo que desde la educación podemos colaborar a que el modelo social sea más inclusivo, a que las personas puedan avanzar hacia sus objetivos más allá de las condiciones de vida. Además, es muy importante hablar con colegas docentes que quieran hablar de aprender ciencias y cómo guiar a los estudiantes en este proceso teniendo en cuenta la diversidad y lo que cada uno puede aportar.","Disponer de tiempo para lograr que las publicaciones que sean accesibles para los lectores de pantalla. Invertir tiempo en aplicar las pautas del Diseño Universal del Aprendizaje para que se presente la información de distintas formas de modo que brinde accesibilidad cognitiva a fin de que más personas puedan acceder y comprender los contenidos publicados. El desafío es optimizar el tiempo.","Estaría bueno lograr acercar el enfoque científico basado en evidencias al público en general, para que más personas adquieran otra forma de pensar, para disminuir tantas creencias sin evidencia que sirven para confundir y desinformar."
"21","Porque creo que el futuro de la comunicación científica (y, por lo tanto, de su avance) está asociada a su comunicación abierta pero no cuento con el conocimiento suficiente (y probablemente el acceso) para hacer uso de ella en mi trabajo.","Los costos asociados.","Podría hacer que más personas accedan a conocimientos básicos."
"22","Para aprender más sobre Ciencia Abierta.","El desconocimiento de la práctica.","Es algo que me interesaría indagar."
"23","Aprender",NA,"Ayudando a"
"24","Con nuestro grupo de trabajo estamos interesados en propulsar la ciencia abierta desde el observatorio astronómico del cual hacemos parte, y para ello buscamos todas las herramientas que podamos para llevar la ciencia a diferentes públicos, por ello es que buscamos formar una concepción propia de cuanto se puede expandir el concepto y acotarlo para realizar investigaciones de impacto en nuestra comunidad.","Una parte está en la disciplina propiamente, dado que los resultados y ciertos análisis están sesgados y restringidos a la interpretación de los versados en el área, por lo cual se debe realizar una trasposición y ajuste a los discursos realizados en la academia para que se puedan comprender de manera más natural en personas que no los manejen.","Ayuda a mostrar que el mundo de la investigación y la ciencia no solamente esta para aquellos que son versados en las temáticas de las disciplinas y áreas estudiadas, sino que se puede llegar a comprender por cualquier persona que llegue a estar interesada, haciendo que no haya una distinción tan marcada entre el científico y la sociedad en la que convive, aparte de que se desarrolle un carácter crítico frente al actuar y la investigación de la comunidad académica"
"25","Para aprender sobre ciencia abierta y poder incorporarlo como herramienta en mi investigación, además de a posibles trabajos de docencia que tenga en el futuro. Para aprender lo que implica y así poder tenerlo en cuenta como posibilidad alternativa a la manera de hacer ciencia comunmente.","La falta de conocimiento de comunicación para publicarlo de manera más informal en blogs o revistas. El bajo puntaje que se le otorgan a las revistas de ciencia abierta, que produce que a la hora de publicar un trabajo los científicos no lo consideren","Que la cienci y todo lo que implcia (metodología, filosofía, técnica, resultados, etc.) pueda llegar a más personas"
"26","Nos interesa participar en pro de promover la investigación y la enseñanza de las ciencias físicas y de astronomía en las instituciones del país.","Las barreras vienen dadas por el poco reconocimiento intelectual dado a los autores de invetigaciones que tienen aportes de alto impacto tanto en la investigación como en la enseñanza de las ciencias.","La enseñanza y divulgación es escencial para la promoción y continuidad de las ciencias e  investigación en Colombia. Un modelo de ciencia abierta puede tener un impacto significativo, ya que ofrece un mundo de posibilidades y conocimientos a los estudiantes, fomentando su interés y deseo de continuar con la investigación científica y/o docencia."
"27","Para poder aprender nuevas herramientas de investigación y enseñarle a mis estudiantes, conocer oportunidades de publicación abierta, aprender nuevos conocimientos en el área de la investigación científica.","la seguridad de los datos. Datos de un sector específico como el aeroespacial o militar o defensa","mayor alcance, mejor aprovechamiento de los datos, más accesibilidad, más personas interesadas"
"28","Para formarme mejor para enseñanza de niños y jóvenes",NA,"Tener la opcion de compartir  , aportar , analizar en investigaciones de la misma area de estudio"
"29","Para ampliar conocimientos y aportar a la comunidad con lo aprendido","La perspectiva o abordaje de la investigación","Le podría dar mayor participación lo cual aportaría puntos de vista que quizás no se contemplen dentro de la comunidad científica."
"30","Por la importancia de construir desde una cosmovisión del bien común y con ello conocer y compartir experiencias en materia de CA.","La autoría y el financiamiento en el proceso de investigación","En la co-creación de saberes que sean la base para toma de decisiones pertinentes y oportunas"
"31","Me interesa participar en este programa de formación porque la Ciencia Abierta representa una oportunidad crucial para democratizar el conocimiento y fomentar la colaboración científica sin barreras geográficas. Considero que esta iniciativa, especialmente orientada hacia una perspectiva latinoamericana, es esencial para abordar desafíos y contextos específicos de nuestra región, promoviendo la equidad y la inclusión en la investigación. Además, la certificación emitida por la NASA es un aval importante que puede potenciar mi desarrollo profesional y académico, permitiéndome contribuir de manera significativa a la comunidad científica local y global.","Falta de apoyo financiero",NA
"32","Porque quiero formar parte de la tendencia sociohistórica como agente de cambio en el marco de la Ciencia Abierta, ya que es el paradigma de difusión y ampliación del conocimiento más ambicioso y beneficioso para conectar mundos académicos, científicos y ciudadanos","He observado casos de plagio o falta de créditos y apropiación intelectual","Mediante una mejor interlocución entre ambos mundos, para retroalimentar los hallazgos en el ámbito científico, y apoyar la toma de decisiones mejor informada en el espacio ciudadano"
"33","Como parte de mi formación progresiva en investigación científica y como docente universitario con muchas ansias de transmitir conocimientos que les sean de utilidad a los estudiantes para crear e imaginar diferentes propuestas que puedan servir en el desarrollo de la ciencia, de su comunidad y, en general, de la humanidad. Esta es una gran oportunidad para continuar con esa lucha y poder sembrar semillas en las personas, para así contribuir a un mundo sin fronteras","La respuesta depende mucho de la realidad circundante de la persona, puedo señalar problemas como socioeconómicos, calidad de la enseñanza, sistemas de gestión científica corruptos o elitistas, situaciones políticas o internas que dificultan el proceso, entre otros.","Al abrir la ciencia, la comunicación de esta puede interferir en la inspiración de otros investigadores, en la aplicación de conocimientos básicos para generar tecnologías aplicativas específicas. También puede posibilitar la comunicación entre investigadores con cierta trayectoria y aspirantes o aprendices. Además, que de haber algún proceso irregular en la publicación (como errores de redacción o de análisis), estos puedan ser revisados por diferentes conocedores en la materia o en materias multidisciplinarias para poder mejorar dicha trayectoria general de investigación. Si esta percepción de ""apertura"" se aplica más allá de cualquier frontera, también podrán hacerse frente a diferentes discriminaciones existentes en el mundo científico. Creo que se me escapan algunas ideas más, sin embargo, esto fue lo primero que se me ocurrió."
"34",NA,"Que otros tomen tus datos y los publiquen a su nombre.","Creo que serìa un gran nexo, a veces es tan dificil hacer llegar al publico en general, lo veo a diario en mi trabajo"
"35","Me recibí recientemente pero trabajo hace varios años en implementación de procesos y transformación digital en el sector público, y me interesa generar proyectos que no solo se pongan en práctica, sino que estén basados en evidencia y puedan compartirse con la comunidad. Me interesan todas las cuestiones de transparencia y estado abierto, y creo que  es una capacitación que me ayudaría a encarara mis proyectos de forma científica.","Cuestiones políticas que dificulten o impidan publicar cierta infomación, y de recursos, porque no hay presupuestos ni tiempos asignados para la investigación","Me parece que la divulgación y transparencia de todos los saberes técnicos y científicos sirven para horizontalizar el saber, no solo el acceso al conocimiento, sino a conocer las bases, supuestos y condiciones de producción detrás de las investigaciones, quitando cierta aura de misterio a todo lo que es producción científica que desde afuera a veces parece verdad inapelable a la que hay que aceptar o rechazar sin más."
